Channel,SW Version,2020.1
Link 0,Date and Time Started,2025-Aug-09 19:00:59
Link 0,Date and Time Ended,2025-Aug-09 19:01:21
Link 0,Scan Name,Channel 0
Link 0,Link Settings,
Link 0,Reset RX After Applying Settings,false
Link 0,Open Area,4224
Link 0,Horizontal Opening,25
Link 0,Horizontal Percentage,44.44
Link 0,Vertical Opening,161
Link 0,Vertical Percentage,67.74
Link 0,Dwell,BER
Link 0,Dwell BER,1e-9
Link 0,Dwell Time,0
Link 0,Horizontal Increment,8
Link 0,Horizontal Range,-0.500 UI to 0.500 UI
Link 0,Vertical Increment,8
Link 0,Vertical Range,100%
Link 0,Misc Info,
Link 0,Scan Start
Link 0,2d statistical,-32,-24,-16,-8,0,8,16,24,32
Link 0,120,0.249996,0.249996,0.190473,0.0645151,0.0512813,0.0769219,0.235291,0.249996,0.249996
Link 0,112,0.249996,0.249996,0.124998,0.0248443,0.0182646,0.0363631,0.249996,0.235291,0.249996
Link 0,104,0.249996,0.249996,0.0634911,0.00519473,0.00343048,0.0147057,0.222219,0.235291,0.249996
Link 0,96,0.249996,0.249996,0.0227269,0.000646821,0.000263327,0.00387591,0.199997,0.235291,0.249996
Link 0,88,0.249996,0.222219,0.0061443,4.89837e-05,2.10016e-06,0.000850508,0.153844,0.235291,0.249996
Link 0,80,0.249996,0.181815,0.000857252,3.92093e-07,9.31337e-10,7.67816e-05,0.108106,0.235291,0.249996
Link 0,72,0.249996,0.12903,7.84087e-05,9.31337e-10,9.31337e-10,4.59335e-06,0.0634911,0.235291,0.235291
Link 0,64,0.249996,0.0799988,5.59361e-06,9.31337e-10,9.31337e-10,2.021e-07,0.0336129,0.235291,0.249996
Link 0,56,0.249996,0.0459763,3.80917e-07,9.31337e-10,9.31337e-10,2.79401e-09,0.0159998,0.199997,0.249996
Link 0,48,0.249996,0.0224716,1.30387e-08,9.31337e-10,9.31337e-10,9.31337e-10,0.0060422,0.17391,0.266663
Link 0,40,0.235291,0.00790502,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,0.00147165,0.12903,0.266663
Link 0,32,0.235291,0.00203663,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,0.000245455,0.0833321,0.249996
Link 0,24,0.222219,0.00063011,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,4.22063e-05,0.048192,0.266663
Link 0,16,0.235291,0.000161353,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,4.69207e-06,0.0227269,0.266663
Link 0,8,0.210523,3.19942e-05,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,2.01169e-07,0.00854688,0.266663
Link 0,0,0.222219,1.61438e-05,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,2.24452e-07,0.00541997,0.266663
Link 0,-8,0.222219,2.69361e-05,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,5.15961e-07,0.00630905,0.28571
Link 0,-16,0.210523,0.000124191,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,5.05995e-06,0.0150374,0.28571
Link 0,-24,0.235291,0.000440425,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,3.24301e-05,0.0327864,0.249996
Link 0,-32,0.249996,0.00155217,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,0.000152367,0.0597006,0.249996
Link 0,-40,0.235291,0.00565762,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,0.000880268,0.105262,0.266663
Link 0,-48,0.249996,0.0163263,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,0.00361331,0.153844,0.235291
Link 0,-56,0.249996,0.0404034,6.98503e-08,9.31337e-10,9.31337e-10,9.31337e-10,0.0106665,0.190473,0.235291
Link 0,-64,0.249996,0.0740729,1.84591e-06,9.31337e-10,9.31337e-10,7.35756e-08,0.0242421,0.222219,0.249996
