BLKTYPE,BLKNAME,TYPE,TOP/BOTTOM,ROWS,COLS,FRAMES
INT,INT_L_X0Y100,0,T,0,0,26
IOI,LIOI3_SING_X0Y100,0,T,0,0,16
INT,INT_R_X1Y100,0,T,0,1,26
CMT,CMT_TOP_R_LOWER_B_X8Y13,0,T,0,1,4
INT,INT_L_X2Y100,0,T,0,2,26
CLB,CLBLL_L_X2Y100,0,T,0,2,10
INT,INT_R_X3Y100,0,T,0,3,26
CLB,CLBLM_R_X3Y100,0,T,0,3,10
INT,INT_L_X4Y100,0,T,0,4,26
CLB,CLBLL_L_X4Y100,0,T,0,4,10
INT,INT_R_X5Y100,0,T,0,5,26
CLB,CLBLM_R_X5Y100,0,T,0,5,10
INT,INT_L_X6Y100,0,T,0,6,26
BRAM,BRAM_INT_L_X6Y100,0,T,0,6,2
INT,INT_R_X7Y100,0,T,0,7,26
CLB,CLBLM_R_X7Y100,0,T,0,7,10
INT,INT_L_X8Y100,0,T,0,8,26
CLB,CLBLM_L_X8Y100,0,T,0,8,10
INT,INT_R_X9Y100,0,T,0,9,26
DSP,DSP_R_X9Y100,0,T,0,9,2
INT,INT_L_X10Y100,0,T,0,10,26
CLB,CLBLM_L_X10Y100,0,T,0,10,10
INT,INT_R_X11Y100,0,T,0,11,26
CLB,CLBLM_R_X11Y100,0,T,0,11,10
FEDDTHRU,,0,T,0,12,36
CLB_DUMMY,,0,T,0,13,36
CLB_DUMMY,,0,T,0,14,36
CLB_DUMMY,,0,T,0,15,36
CLB_DUMMY,,0,T,0,16,36
CLB_DUMMY,,0,T,0,17,36
INT,INT_L_X18Y125,0,T,0,18,26
MONITOR/FEED,MONITOR_BOT_X46Y131,0,T,0,18,4
INT,INT_R_X19Y100,0,T,0,19,26
HROW,CLBLL_R_X19Y100,0,T,0,19,10
INT,INT_L_X20Y100,0,T,0,20,26
CLB,CLBLL_L_X20Y100,0,T,0,20,10
INT,INT_R_X21Y100,0,T,0,21,26
CLB,CLBLM_R_X21Y100,0,T,0,21,10
INT,INT_L_X22Y100,0,T,0,22,26
CLB,CLBLL_L_X22Y100,0,T,0,22,10
INT,INT_R_X23Y100,0,T,0,23,26
CLB,CLBLM_R_X23Y100,0,T,0,23,10
INT,INT_L_X24Y100,0,T,0,24,26
CLB,CLBLM_L_X24Y100,0,T,0,24,10
INT,INT_R_X25Y100,0,T,0,25,26
CLB,CLBLL_R_X25Y100,0,T,0,25,10
INT,INT_L_X26Y100,0,T,0,26,26
CLB,CLBLM_L_X26Y100,0,T,0,26,10
INT,INT_R_X27Y100,0,T,0,27,26
CLB,CLBLM_R_X27Y100,0,T,0,27,10
INT,INT_L_X28Y100,0,T,0,28,26
CLB,CLBLM_L_X28Y100,0,T,0,28,10
INT,INT_R_X29Y100,0,T,0,29,26
CLB,CLBLM_R_X29Y100,0,T,0,29,10
INT,INT_L_X30Y100,0,T,0,30,26
CLB,CLBLM_L_X30Y100,0,T,0,30,10
INT,INT_R_X31Y100,0,T,0,31,26
CLK_BUF/CLK_HROW,CLK_BUFG_TOP_R_X78Y105,0,T,0,31,4
INT,INT_L_X32Y100,0,T,0,32,26
CLB,CLBBLL_L_X32Y100,0,T,0,32,10
INT,INT_R_X33Y100,0,T,0,33,26
CLB,CLBBLM_R_X33Y100,0,T,0,33,10
INT,INT_L_X34Y100,0,T,0,34,26
CLB,CLBBLM_L_X34Y100,0,T,0,34,10
INT,INT_R_X35Y100,0,T,0,35,26
DSP,DSP_R_X35Y100,0,T,0,35,2
INT,INT_L_X36Y100,0,T,0,36,26
CLB,CLBBLM_L_X36Y100,0,T,0,36,10
INT,INT_R_X37Y100,0,T,0,37,26
CLB,CLBBLM_R_X37Y100,0,T,0,37,10
INT,INT_L_X38Y100,0,T,0,38,26
BRAM,BRAM_L_X38Y100,0,T,0,38,2
INT,INT_R_X39Y100,0,T,0,39,26
CLB,CLBBLM_R_X39Y100,0,T,0,39,10
INT,INT_L_X40Y100,0,T,0,40,26
CLB,CLBBLM_L_X40Y100,0,T,0,40,10
INT,INT_R_X41Y100,0,T,0,41,26
CLB,CLBBLM_R_X41Y100,0,T,0,41,10
INT,INT_L_X42Y100,0,T,0,42,26
CLB,CLBBLM_L_X42Y100,0,T,0,42,10
INT,INT_R_X43Y100,0,T,0,43,26
CLB,CLBBLM_R_X43Y100,0,T,0,43,10
INT,INT_L_X44Y100,0,T,0,44,26
BRAM,BRAM_L_X44Y100,0,T,0,44,2
INT,INT_R_X45Y100,0,T,0,45,26
CLB,CLBBLL_R_X45Y100,0,T,0,45,10
INT,INT_L_X46Y100,0,T,0,46,26
CLB,CLBBLM_L_X46Y100,0,T,0,46,10
INT,INT_R_X47Y100,0,T,0,47,26
CLB,CLBBLM_R_X47Y100,0,T,0,47,10
INT,INT_L_X48Y100,0,T,0,48,26
